# wavelength flux variance
3486.352066897869 -34757.28963792026 1361852097.3287268
3486.389412752446 -168526.1770667995 5279096358.605336
3486.4267590070654 -95652.08766937803 5297455164.250073
3486.464105661745 118444.59519211503 2223324988.279857
3486.5014527164763 55952.95573019795 1100313210.2495515
3486.5388001712763 6749.573882861144 970911776.4052625
3486.576148026142 126275.99942317345 4419795389.257501
3486.613496281073 4440103.297213353 335980118445.3831
3486.650844936085 3576787.2698548394 3641553159.470844
3486.6881939911764 169717.00839031104 2640386384.922977
3486.725543446345 473896.16469431453 831826419447.0854
3486.762893301608 711763.9547196308 27110573504.883633
3486.800243556957 90978.59626273274 927840266.9799948
3486.8375942124085 114103.93458287846 2829073230.9557414
3486.874945267961 114824.87583799937 72929076399.87598
3486.9122967236117 80316.2978773276 1961766329.8598502
3486.949648579379 33176.91538222424 1123686060.2745016
3486.9870008352527 -86668.64119182903 9108055752.151606
3487.024353491251 -160240.73568635638 16188846952.557732
3487.0617065473716 -14825.810823417909 823854947.129161
3487.099060003612 47791.568962191726 2043345372.4587162
3487.13641385999 18197.054871125525 51357357966.44873
3487.1737681165027 -2640.358261766887 4323812722.2766905
3487.211122773149 -23548.965765265144 1935071066.5298793
3487.2484778299445 53049.514389892174 3667896624.5276046
3487.285833286882 98900.99997981507 7155954426.627027
3487.3231891439777 -172923.876228448 16148177442.55427
3487.36054540123 -110216.60340032991 7334534418.223916
3487.397902058637 20905.396587850253 1126388413.0688565
3487.4352591162155 111717.75111139976 843275810.5410776
3487.4726165739567 177057.64697050303 4352799305.781663
3487.5099744318777 -116026.40852266198 5167236647.256267
3487.547332689977 70731.2621027469 1385696572.8507783
3487.5846913482524 48029.8471309883 1308584617.835151
3487.62205040672 51606.4591172105 2035690553.7356968
3487.6594098653786 30660.630905939062 513089157.5505509
3487.696769724226 11642.64465125972 364478167.4027198
3487.734129983279 285006.6199390457 16062674477.437132
3487.7714906425294 1471319.3474711673 152887016154.11276
3487.808851701994 53015.218424003106 5044830596.204467
3487.846213161671 11877.889796803109 2962411428.478171
3487.883575021558 193572.53193543464 6054401536.930507
3487.920937281672 180493.74044713576 16569788063.38165
3487.9582999420054 68717.08920503655 11522229918.32781
3487.995663002574 214733.87336278515 1498613881.232494
3488.0330264633762 44413.897077732225 217056203.83586884
3488.0703903244103 7480.042173749429 397447132.32434946
3488.1077545856924 1884.8564053522023 269176259.21598077
3488.1451192472214 -1865.9327567636337 429887501.8425636
3488.182484308995 -19956.093001637455 1258097940.3207529
3488.2198497710297 8308.808261540571 807155774.5497555
3488.2572156333176 44134.28506628576 434978770.1401787
3488.2945818958756 4795.8468803012365 359506450.5698196
3488.3319485587012 26234.691247019793 307628463.7647695
3488.3693156217932 -1589.2582381385726 968860008.6506019
3488.4066830851675 -1458433.5428193593 44672498878.44079
3488.4440509488168 -1541152.611224976 34165328767.688877
3488.4814192127574 -47352.3379036276 2588886424.8796325
3488.518787876987 -23290.883815118606 595852375.6805738
3488.5561569415045 1030.7383593852278 205422469.01914272
3488.5935264063264 -23876.062284432017 749201849.4268293
3488.63089627145 -17541.896040330816 993745739.278309
3488.668266536874 3180.562728113502 1245847580.081189
3488.7056372026154 105951.861817903 2643977224.0078473
3488.7430082686656 97712.08513690933 9084352918.879406
3488.780379735041 65860.7850284939 3087451504.6424785
3488.8177516017404 32335.912017907533 523194630.4825394
3488.8551238687614 78124.98018811345 1546743472.7982728
3488.892496536121 21281.215956952685 286422083.39623564
3488.9298696038177 -372.91510209821445 188416090.31762698
3488.9672430718483 16414.517673741764 231819605.3945372
3489.004616940231 70589.72436977373 583593872.3009511
3489.041991208956 110364.55028786683 10180235568.241867
3489.0793658780412 -179303.25034733184 38302685905.947845
3489.1167409474847 -140967.93058408448 6611035197.52106
3489.154116417284 6535.383013422892 742848307.3673496
3489.191492287456 39115.97080425829 1156034594.6375792
3489.2288685579933 44101.747416593396 946523589.3677202
3489.2662452289114 8439.191056818148 288044673.4934965
3489.303622300209 -10782.262288132199 172086694.6899067
3489.3409997718845 -16763.724133165146 448331214.34969085
3489.378377643954 -32676.415037020546 683772415.6081921
3489.415755916416 -39366.976372186175 1590028688.1454513
3489.453134589268 -18814.829035414186 1871323691.93448
3489.490513662527 26385.89226262298 2301902443.3989506
3489.5278931361854 7302.667185904222 537046059.8246214
3489.5652730102593 -20797.257391915286 255000695.72790197
3489.6026532847472 -14508.033061482114 12106714307.180948
3489.6400339596466 -93936.21298958789 32171600711.002422
3489.6774150349747 -17835.311273948188 828806771.5127664
3489.7147965107233 -101731.15039329905 1470610351.353349
3489.752178386909 -57213.21347297526 764207990.1957997
3489.7895606635298 29941.88296435967 473579303.5304881
3489.826943340584 16069.176174380395 717799608.5385022
3489.864326418088 17401.905401771983 3183761130.8455997
3489.9017098960403 120944.78286230887 2012149810.1552858
3489.9390937744383 336417.28641290945 11679811120.265884
3489.9764780532996 120312.06262160884 666001262.059729
3490.0138627326155 695911.7429341194 1110953367.1132424
3490.0512478124033 692191.3780443287 9360075346.729387
3490.08863329266 -4323.850009046391 1114126818.2266233
3490.1260191733845 -3524.5962927338865 430088734.07146144
3490.1634054545934 1872.607264476166 447839274.5492511
3490.2007921362783 -156582.29883330583 2840700045.3130455
3490.2381792184565 -46965.18135681549 623919424.1696802
3490.275566701125 96731.36244569259 1301779287.844572
3490.312954584283 338491.21746761916 65051890128.83312
3490.350342867947 331155.66320471175 11985599929.914139
3490.3877315521145 12839.442811436953 2347870636.466265
3490.425120636784 44714.73046855842 894428847.0134091
3490.462510121972 -15275.833916361391 549253105.837806
3490.4999000076705 -43152.158533391914 767507963.197936
3490.5372902938966 -12863.446664567859 205115818.20285603
3490.5746809806474 14254.874564350292 345404743.24461037
3490.612072067922 124458.35846188533 5809220514.046349
3490.6494635557365 187098.5179113787 1856771894.763008
3490.686855444083 33826.476247482955 671043853.6463915
3490.7242477329783 32753.421279348306 1545890857.7346132
3490.7616404224204 -14312.30976672293 1201306770.2181363
3490.7990335124073 30144.900657307368 326938993.703841
3490.8364270029556 -8853.503655633525 260759305.38900158
3490.8738208940636 -9371.940039219931 352750720.62015086
3490.911215185729 -24592.182371002604 628940235.0561143
3490.948609877969 -34614.04876715539 1037733660.770425
3490.9860049707754 -50110.5033268005 881046671.7896786
3491.0234004641648 -103980.99811686596 1582954083.9669902
3491.060796358135 -19271.885135996803 705244827.75902
3491.0981926526847 -8904.645419595134 324372046.88559777
3491.1355893478303 -11206.799256988896 415564035.1462713
3491.1729864435633 41308.70393662443 741192003.5876411
3491.210383939901 84967.85685521601 1030159096.5653801
3491.247781836841 62380.61702015189 476093207.3351415
3491.285180134382 1132.289847562641 181464114.39982614
3491.32257883254 695.3098719333997 158435438.96920225
3491.3599779313136 6099.592252340473 291952549.729049
3491.3973774307005 -53039.167511493404 717383589.2415347
3491.4347773307177 -31744.38939565111 641945782.0581759
3491.4721776313568 15737.479006257101 755992387.5465366
3491.509578332635 -8866.51454476107 2281555611.339419
3491.54697943455 -19703.174275146095 938519293.7926887
3491.5843809370995 1436.1969095550373 331819130.8827373
3491.621782840301 -9813.480782424704 246552425.8411956
3491.6591851441462 18021.73905290935 264661312.52766725
3491.6965878486512 18311.68816843298 425684840.14053893
3491.733990953815 -42219.846301513564 956224275.3511602
3491.771394459635 -48995.43022224179 286192365.71353537
3491.808798366128 -4609.570383529901 160583208.36094728
3491.8462026732923 -14378.471085212082 222866494.78101274
3491.883607381126 -1441.6529134912007 598696297.7352109
3491.9210124896454 53493.92983466702 1191526986.401482
3491.958417998843 42148.27984201778 2172721156.045539
3491.9958239087346 40425.54362493174 571553851.0662185
3492.033230219319 38128.299959184296 599821501.7914871
3492.070636930595 39657.570921330815 1182464146.011161
3492.1080440425776 50756.268006785715 2331912390.858542
3492.1454515552596 110581.68784883196 3385540255.008858
3492.182859468658 27020.78224728002 830026760.4190022
3492.2202677827704 3045.19272433799 504708922.44476104
3492.2576764975947 -326.5465742140441 635194363.9283739
3492.2950856131483 -9979.706718058409 148552507.90473846
3492.3324951294285 18537.732058480193 119244408.39801835
3492.3699050464343 4660.870549020594 203653698.26993904
3492.407315364181 -25523.6330551762 656879565.7439357
3492.4447260826623 -20649.55112224756 1132910858.8654735
3492.4821372018937 -17501.578585203453 669401102.7483854
3492.5195487218734 -5415.885079495634 239202893.47118795
3492.5569606425997 17323.716505500302 850449957.5194606
3492.5943729640894 27219.295009112528 4803437701.568463
3492.631785686334 -25800.683688170146 3891635929.158296
3492.6691988093507 -82539.91590711908 3625118864.06192
3492.706612333137 -75665.72901717079 8825468249.734797
3492.7440262576915 -137827.5850413634 42583424017.45909
3492.781440583031 -289005.4632891911 5718552405.945066
3492.8188553091527 -24502.442463499145 452883438.61429805
3492.8562704360556 37106.944347325785 1837380189.2990224
3492.893685963756 25737.820512355145 423298224.39504606
3492.9311018922463 21136.506080499843 293817004.3403434
3492.968518221542 1239.7029760777878 264115687.9016972
3493.0059349516428 -5755.404627003307 356073515.3501691
3493.0433520825454 61554.38330667105 1393256403.491262
3493.0807696142674 251066.27806688612 31787282678.649334
3493.118187546806 382826.4660119427 47622904829.942726
3493.1556058801602 26252.219650329207 2409626699.340152
3493.1930246143465 -255796.7823083618 7194268125.865455
3493.2304437493567 -161922.2184821358 4013695680.6184807
3493.267863285207 -67536.94019315917 1887000450.1793976
3493.3052832218964 -93152.41047013615 1130931869.395326
3493.3427035594223 -31090.41476687922 619458279.2992009
3493.380124297801 -6689.532156529711 405698721.9954311
3493.4175454370256 11128.983389696228 845309394.130216
3493.4549669771122 -11586.588103911026 435546044.8046213
3493.492388918059 -6444.220510992824 212396860.0933027
3493.529811259864 -20966.045822712767 332770584.0452289
3493.5672340025435 -8829.221360322077 568885556.5704823
3493.604657146096 11096.415943038683 396915213.8137309
3493.64208069052 6968.5455160733945 262512353.61954364
3493.6795046358316 1540.46133765269 201597669.77036056
3493.7169289820226 -7236.199264065534 118061803.39918089
3493.75435372911 -35629.73995962084 374184358.4666956
3493.791778877092 30608.753637653495 1693655622.6607208
3493.8292044259665 184563.0684179923 8408079514.749797
3493.86663037575 92301.32744084945 639098758.690777
3493.9040567264346 15654.802864319034 589053062.7925733
3493.9414834780373 -14987.513712091446 323143152.2643603
3493.978910630556 -8118.099512630874 164684350.24588954
3494.0163381839884 43351.981751956424 264522205.3333832
3494.053766138352 67317.19796115087 463450968.47070885
3494.091194493644 21388.0065191402 197954971.75543198
3494.128623249863 -5449.740436706076 743930102.2975122
3494.1660524070253 -30454.76024426221 1801318344.3875074
3494.203481965123 -2080.641544223898 273465806.64320606
3494.2409119241734 56.25346575790354 223661153.78271
3494.278342284174 -705.7213028806327 225001390.9132333
3494.3157730451226 -16147.304329127051 162394312.71150637
3494.3532042070365 -45672.72499041476 278481719.5195084
3494.3906357699075 16416.569871484306 151173737.24539575
